concept,fiscal_year,period_end,value,unit
AssetDisposalIncome,2007,2007-12-31,0.0,CNY
AssetDisposalIncome,2008,2008-12-31,0.0,CNY
AssetDisposalIncome,2009,2009-12-31,0.0,CNY
AssetDisposalIncome,2010,2010-12-31,0.0,CNY
AssetDisposalIncome,2011,2011-12-31,0.0,CNY
AssetDisposalIncome,2012,2012-12-31,0.0,CNY
AssetDisposalIncome,2013,2013-12-31,0.0,CNY
AssetDisposalIncome,2014,2014-12-31,0.0,CNY
AssetDisposalIncome,2015,2015-12-31,0.0,CNY
AssetDisposalIncome,2016,2016-12-31,0.0,CNY
AssetDisposalIncome,2017,2017-12-31,123699.99999999999,CNY
AssetDisposalIncome,2018,2018-12-31,35462900.0,CNY
AssetDisposalIncome,2019,2019-12-31,-15700.0,CNY
AssetDisposalIncome,2020,2020-12-31,-6200.0,CNY
AssetDisposalIncome,2021,2021-12-31,170300.0,CNY
AssetDisposalIncome,2022,2022-12-31,397900.0,CNY
AssetDisposalIncome,2023,2023-12-31,0.0,CNY
AssetDisposalIncome,2024,2024-12-31,300100.0,CNY
AssetDisposalIncome,2025,2025-12-31,48400.0,CNY
AssetImpairmentLoss,2007,2007-12-31,-279700.0,CNY
AssetImpairmentLoss,2008,2008-12-31,693400.0,CNY
AssetImpairmentLoss,2009,2009-12-31,1270100.0,CNY
AssetImpairmentLoss,2010,2010-12-31,2329100.0,CNY
AssetImpairmentLoss,2011,2011-12-31,1017600.0,CNY
AssetImpairmentLoss,2012,2012-12-31,1042400.0,CNY
AssetImpairmentLoss,2013,2013-12-31,2535900.0,CNY
AssetImpairmentLoss,2014,2014-12-31,2001300.0,CNY
AssetImpairmentLoss,2015,2015-12-31,7951900.000000001,CNY
AssetImpairmentLoss,2016,2016-12-31,3621100.0,CNY
AssetImpairmentLoss,2017,2017-12-31,3974100.0000000005,CNY
AssetImpairmentLoss,2018,2018-12-31,11673599.999999998,CNY
AssetImpairmentLoss,2019,2019-12-31,801200.0,CNY
AssetImpairmentLoss,2020,2020-12-31,945000.0,CNY
AssetImpairmentLoss,2021,2021-12-31,137000000.0,CNY
AssetImpairmentLoss,2022,2022-12-31,18209800.0,CNY
AssetImpairmentLoss,2023,2023-12-31,1159800.0,CNY
AssetImpairmentLoss,2024,2024-12-31,6378400.0,CNY
AssetImpairmentLoss,2025,2025-12-31,26924200.0,CNY
CashAndCashEquivalentsAtCarryingValue,2007,2007-12-31,48615800.0,CNY
CashAndCashEquivalentsAtCarryingValue,2008,2008-12-31,32881500.0,CNY
CashAndCashEquivalentsAtCarryingValue,2009,2009-12-31,49605200.00000001,CNY
CashAndCashEquivalentsAtCarryingValue,2010,2010-12-31,433000000.0,CNY
CashAndCashEquivalentsAtCarryingValue,2011,2011-12-31,388000000.0,CNY
CashAndCashEquivalentsAtCarryingValue,2012,2012-12-31,353000000.0,CNY
CashAndCashEquivalentsAtCarryingValue,2013,2013-12-31,296000000.0,CNY
