concept,period_end,value,unit
NetCashProvidedByUsedInOperatingActivities,2024-06-30,32984603.09,CNY
NetCashProvidedByUsedInOperatingActivities,2024-09-30,88069613.03,CNY
NetCashProvidedByUsedInOperatingActivities,2024-12-31,164705660.55,CNY
NetCashProvidedByUsedInOperatingActivities,2025-03-31,40425295.32,CNY
NetCashProvidedByUsedInOperatingActivities,2025-06-30,157144568.3,CNY
NetCashProvidedByUsedInOperatingActivities,2025-09-30,270699175.19,CNY
NetCashProvidedByUsedInOperatingActivities,2025-12-31,233903508.28,CNY
NetCashProvidedByUsedInOperatingActivities,2026-03-31,70431291.85,CNY
NetIncomeLoss,2024-06-30,-10358793.27,CNY
NetIncomeLoss,2024-09-30,-34805639.91,CNY
NetIncomeLoss,2024-12-31,-173654017.08,CNY
NetIncomeLoss,2025-03-31,69868367.53,CNY
NetIncomeLoss,2025-06-30,145468616.41,CNY
NetIncomeLoss,2025-09-30,71351483.5,CNY
NetIncomeLoss,2025-12-31,36569897.15,CNY
NetIncomeLoss,2026-03-31,127814053.73,CNY
NetIncomeLossExclNonRecurring,2024-06-30,-59723767.45,CNY
NetIncomeLossExclNonRecurring,2024-09-30,-93577678.87,CNY
NetIncomeLossExclNonRecurring,2024-12-31,-239652787.96,CNY
NetIncomeLossExclNonRecurring,2025-03-31,65550023.23,CNY
NetIncomeLossExclNonRecurring,2025-06-30,123380468.86,CNY
NetIncomeLossExclNonRecurring,2025-09-30,50829428.52,CNY
NetIncomeLossExclNonRecurring,2025-12-31,13806615.48,CNY
NetIncomeLossExclNonRecurring,2026-03-31,123830589.47,CNY
Revenues,2024-06-30,255720574.14,CNY
Revenues,2024-09-30,375225390.5,CNY
Revenues,2024-12-31,590199011.64,CNY
Revenues,2025-03-31,309969965.34,CNY
Revenues,2025-06-30,549442106.79,CNY
Revenues,2025-09-30,683122870.45,CNY
Revenues,2025-12-31,966352079.7,CNY
Revenues,2026-03-31,299145924.16,CNY
