concept,period_end,value,unit
NetCashProvidedByUsedInOperatingActivities,2024-06-30,-485607500.87,CNY
NetCashProvidedByUsedInOperatingActivities,2024-09-30,-617088202.62,CNY
NetCashProvidedByUsedInOperatingActivities,2024-12-31,203249006.92,CNY
NetCashProvidedByUsedInOperatingActivities,2025-03-31,-292446080.05,CNY
NetCashProvidedByUsedInOperatingActivities,2025-06-30,-461212890.05,CNY
NetCashProvidedByUsedInOperatingActivities,2025-09-30,-401880681.61,CNY
NetCashProvidedByUsedInOperatingActivities,2025-12-31,149617341.98,CNY
NetCashProvidedByUsedInOperatingActivities,2026-03-31,-180877177.78,CNY
NetIncomeLoss,2024-06-30,-88657434.95,CNY
NetIncomeLoss,2024-09-30,-87213425.07,CNY
NetIncomeLoss,2024-12-31,24360284.86,CNY
NetIncomeLoss,2025-03-31,-49970718.4,CNY
NetIncomeLoss,2025-06-30,-66697759.3,CNY
NetIncomeLoss,2025-09-30,-46215571.04,CNY
NetIncomeLoss,2025-12-31,-62262398.5,CNY
NetIncomeLoss,2026-03-31,-33194868.66,CNY
NetIncomeLossExclNonRecurring,2024-06-30,-94210935.12,CNY
NetIncomeLossExclNonRecurring,2024-09-30,-91050759.59,CNY
NetIncomeLossExclNonRecurring,2024-12-31,-35384816.6,CNY
NetIncomeLossExclNonRecurring,2025-03-31,-52778576.01,CNY
NetIncomeLossExclNonRecurring,2025-06-30,-74208984.17,CNY
NetIncomeLossExclNonRecurring,2025-09-30,-59077835.88,CNY
NetIncomeLossExclNonRecurring,2025-12-31,-99797266.41,CNY
NetIncomeLossExclNonRecurring,2026-03-31,-35741732.22,CNY
Revenues,2024-06-30,605138688.74,CNY
Revenues,2024-09-30,1099954746.8,CNY
Revenues,2024-12-31,2023793641.98,CNY
Revenues,2025-03-31,220187895.03,CNY
Revenues,2025-06-30,688450564.69,CNY
Revenues,2025-09-30,1446085256.6,CNY
Revenues,2025-12-31,2284495147.05,CNY
Revenues,2026-03-31,351961382.53,CNY
