concept,period_end,value,unit
NetCashProvidedByUsedInOperatingActivities,2024-06-30,-1107258473.91,CNY
NetCashProvidedByUsedInOperatingActivities,2024-09-30,817741456.81,CNY
NetCashProvidedByUsedInOperatingActivities,2024-12-31,1687213147.22,CNY
NetCashProvidedByUsedInOperatingActivities,2025-03-31,-604431159.18,CNY
NetCashProvidedByUsedInOperatingActivities,2025-06-30,-215204146.09,CNY
NetCashProvidedByUsedInOperatingActivities,2025-09-30,1052879454.9,CNY
NetCashProvidedByUsedInOperatingActivities,2025-12-31,2344524029.36,CNY
NetCashProvidedByUsedInOperatingActivities,2026-03-31,-476300263.57,CNY
NetIncomeLoss,2024-06-30,491370470.61,CNY
NetIncomeLoss,2024-09-30,887791670.67,CNY
NetIncomeLoss,2024-12-31,1105699785.82,CNY
NetIncomeLoss,2025-03-31,242440247.99,CNY
NetIncomeLoss,2025-06-30,544684294.84,CNY
NetIncomeLoss,2025-09-30,935445571.53,CNY
NetIncomeLoss,2025-12-31,1293918282.02,CNY
NetIncomeLoss,2026-03-31,211828172.01,CNY
NetIncomeLossExclNonRecurring,2024-06-30,513342643.02,CNY
NetIncomeLossExclNonRecurring,2024-09-30,853799511.68,CNY
NetIncomeLossExclNonRecurring,2024-12-31,1050440975.94,CNY
NetIncomeLossExclNonRecurring,2025-03-31,236767971.8,CNY
NetIncomeLossExclNonRecurring,2025-06-30,523864442.15,CNY
NetIncomeLossExclNonRecurring,2025-09-30,879988669.98,CNY
NetIncomeLossExclNonRecurring,2025-12-31,1022103984.46,CNY
NetIncomeLossExclNonRecurring,2026-03-31,140317791.65,CNY
Revenues,2024-06-30,17661390829.01,CNY
Revenues,2024-09-30,29053437248.78,CNY
Revenues,2024-12-31,38956188480.93,CNY
Revenues,2025-03-31,8875164960.28,CNY
Revenues,2025-06-30,18625062643.46,CNY
Revenues,2025-09-30,29644614182.66,CNY
Revenues,2025-12-31,39439575005.87,CNY
Revenues,2026-03-31,9665234630.87,CNY
