concept,period_end,value,unit
NetCashProvidedByUsedInOperatingActivities,2024-06-30,-121063076.51,CNY
NetCashProvidedByUsedInOperatingActivities,2024-09-30,-123222504.72,CNY
NetCashProvidedByUsedInOperatingActivities,2024-12-31,115719688.81,CNY
NetCashProvidedByUsedInOperatingActivities,2025-03-31,-108220947.42,CNY
NetCashProvidedByUsedInOperatingActivities,2025-06-30,-128615069.45,CNY
NetCashProvidedByUsedInOperatingActivities,2025-09-30,-149156013.93,CNY
NetCashProvidedByUsedInOperatingActivities,2025-12-31,94544516.06,CNY
NetCashProvidedByUsedInOperatingActivities,2026-03-31,-105563482.85,CNY
NetIncomeLoss,2024-06-30,13391015.73,CNY
NetIncomeLoss,2024-09-30,14928147.68,CNY
NetIncomeLoss,2024-12-31,121250021.12,CNY
NetIncomeLoss,2025-03-31,-13950341.31,CNY
NetIncomeLoss,2025-06-30,1206676.65,CNY
NetIncomeLoss,2025-09-30,1482353.35,CNY
NetIncomeLoss,2025-12-31,73978954.11,CNY
NetIncomeLoss,2026-03-31,5884713.34,CNY
NetIncomeLossExclNonRecurring,2024-06-30,7902305.02,CNY
NetIncomeLossExclNonRecurring,2024-09-30,7524178.4,CNY
NetIncomeLossExclNonRecurring,2024-12-31,105799527.28,CNY
NetIncomeLossExclNonRecurring,2025-03-31,-16835340.31,CNY
NetIncomeLossExclNonRecurring,2025-06-30,-4452874.99,CNY
NetIncomeLossExclNonRecurring,2025-09-30,-6802974.39,CNY
NetIncomeLossExclNonRecurring,2025-12-31,63643676.39,CNY
NetIncomeLossExclNonRecurring,2026-03-31,2650469.43,CNY
Revenues,2024-06-30,191994746.17,CNY
Revenues,2024-09-30,293805190.93,CNY
Revenues,2024-12-31,836130249.62,CNY
Revenues,2025-03-31,58763700.08,CNY
Revenues,2025-06-30,210145512.36,CNY
Revenues,2025-09-30,300168888.17,CNY
Revenues,2025-12-31,824945418.92,CNY
Revenues,2026-03-31,63587200.22,CNY
