concept,fiscal_year,period_end,value,unit
AccountsReceivableNetCurrent,2012,2012-12-31,37656300.0,CNY
AccountsReceivableNetCurrent,2013,2013-12-31,35586900.0,CNY
AccountsReceivableNetCurrent,2014,2014-12-31,66431100.0,CNY
AccountsReceivableNetCurrent,2015,2015-12-31,82035900.0,CNY
AccountsReceivableNetCurrent,2016,2016-12-31,113999999.99999999,CNY
AccountsReceivableNetCurrent,2017,2017-12-31,132000000.0,CNY
AccountsReceivableNetCurrent,2018,2018-12-31,141000000.0,CNY
AccountsReceivableNetCurrent,2019,2019-12-31,162000000.0,CNY
AccountsReceivableNetCurrent,2020,2020-12-31,202999999.99999997,CNY
AccountsReceivableNetCurrent,2021,2021-12-31,227999999.99999997,CNY
AccountsReceivableNetCurrent,2022,2022-12-31,377000000.0,CNY
AccountsReceivableNetCurrent,2023,2023-12-31,466000000.0,CNY
AccountsReceivableNetCurrent,2024,2024-12-31,537000000.0,CNY
AccountsReceivableNetCurrent,2025,2025-12-31,542000000.0,CNY
AssetDisposalIncome,2012,2012-12-31,0.0,CNY
AssetDisposalIncome,2013,2013-12-31,0.0,CNY
AssetDisposalIncome,2014,2014-12-31,0.0,CNY
AssetDisposalIncome,2015,2015-12-31,0.0,CNY
AssetDisposalIncome,2016,2016-12-31,0.0,CNY
AssetDisposalIncome,2017,2017-12-31,-12800.0,CNY
AssetDisposalIncome,2018,2018-12-31,330200.00000000006,CNY
AssetDisposalIncome,2019,2019-12-31,116400.0,CNY
AssetDisposalIncome,2020,2020-12-31,-2800.0,CNY
AssetDisposalIncome,2021,2021-12-31,124900.0,CNY
AssetDisposalIncome,2022,2022-12-31,-1600.0,CNY
AssetDisposalIncome,2023,2023-12-31,4200.0,CNY
AssetDisposalIncome,2024,2024-12-31,-2195200.0,CNY
AssetDisposalIncome,2025,2025-12-31,103100.0,CNY
AssetImpairmentLoss,2012,2012-12-31,5874400.000000001,CNY
AssetImpairmentLoss,2013,2013-12-31,-5731500.0,CNY
AssetImpairmentLoss,2014,2014-12-31,2253500.0,CNY
AssetImpairmentLoss,2015,2015-12-31,1304700.0,CNY
AssetImpairmentLoss,2016,2016-12-31,5784000.0,CNY
AssetImpairmentLoss,2017,2017-12-31,1580300.0,CNY
AssetImpairmentLoss,2018,2018-12-31,12007800.0,CNY
AssetImpairmentLoss,2019,2019-12-31,1287200.0,CNY
AssetImpairmentLoss,2020,2020-12-31,188600.0,CNY
AssetImpairmentLoss,2021,2021-12-31,842500.0,CNY
AssetImpairmentLoss,2022,2022-12-31,433400.00000000006,CNY
AssetImpairmentLoss,2023,2023-12-31,341500.0,CNY
AssetImpairmentLoss,2024,2024-12-31,10930400.0,CNY
AssetImpairmentLoss,2025,2025-12-31,25080900.0,CNY
BondsPayableNoncurrent,2012,2012-12-31,0.0,CNY
BondsPayableNoncurrent,2013,2013-12-31,0.0,CNY
BondsPayableNoncurrent,2014,2014-12-31,0.0,CNY
BondsPayableNoncurrent,2015,2015-12-31,0.0,CNY
BondsPayableNoncurrent,2016,2016-12-31,0.0,CNY
BondsPayableNoncurrent,2017,2017-12-31,0.0,CNY
BondsPayableNoncurrent,2018,2018-12-31,0.0,CNY
BondsPayableNoncurrent,2019,2019-12-31,0.0,CNY
BondsPayableNoncurrent,2020,2020-12-31,0.0,CNY
BondsPayableNoncurrent,2021,2021-12-31,0.0,CNY
BondsPayableNoncurrent,2022,2022-12-31,0.0,CNY
BondsPayableNoncurrent,2023,2023-12-31,0.0,CNY
BondsPayableNoncurrent,2024,2024-12-31,0.0,CNY
BondsPayableNoncurrent,2025,2025-12-31,238000000.0,CNY
CashAndCashEquivalentsAtCarryingValue,2012,2012-12-31,131000000.0,CNY
CashAndCashEquivalentsAtCarryingValue,2013,2013-12-31,105000000.0,CNY
CashAndCashEquivalentsAtCarryingValue,2014,2014-12-31,57864600.0,CNY
CashAndCashEquivalentsAtCarryingValue,2015,2015-12-31,80005300.0,CNY
CashAndCashEquivalentsAtCarryingValue,2016,2016-12-31,53737400.0,CNY
CashAndCashEquivalentsAtCarryingValue,2017,2017-12-31,72382100.0,CNY
CashAndCashEquivalentsAtCarryingValue,2018,2018-12-31,77574300.0,CNY
CashAndCashEquivalentsAtCarryingValue,2019,2019-12-31,134000000.00000001,CNY
CashAndCashEquivalentsAtCarryingValue,2020,2020-12-31,84050600.0,CNY
CashAndCashEquivalentsAtCarryingValue,2021,2021-12-31,372000000.0,CNY
CashAndCashEquivalentsAtCarryingValue,2022,2022-12-31,357000000.0,CNY
CashAndCashEquivalentsAtCarryingValue,2023,2023-12-31,359000000.0,CNY
CashAndCashEquivalentsAtCarryingValue,2024,2024-12-31,324000000.0,CNY
