concept,period_end,value,unit
NetCashProvidedByUsedInOperatingActivities,2024-06-30,268603653.86,CNY
NetCashProvidedByUsedInOperatingActivities,2024-09-30,559442721.25,CNY
NetCashProvidedByUsedInOperatingActivities,2024-12-31,1662423468.08,CNY
NetCashProvidedByUsedInOperatingActivities,2025-03-31,-507217646.54,CNY
NetCashProvidedByUsedInOperatingActivities,2025-06-30,18425921.17,CNY
NetCashProvidedByUsedInOperatingActivities,2025-09-30,249683802.07,CNY
NetCashProvidedByUsedInOperatingActivities,2025-12-31,1161546515.34,CNY
NetCashProvidedByUsedInOperatingActivities,2026-03-31,-199855549.75,CNY
NetIncomeLoss,2024-06-30,195791762.24,CNY
NetIncomeLoss,2024-09-30,385380060.3,CNY
NetIncomeLoss,2024-12-31,172625210.4,CNY
NetIncomeLoss,2025-03-31,168578339.85,CNY
NetIncomeLoss,2025-06-30,243786781.48,CNY
NetIncomeLoss,2025-09-30,283233120.17,CNY
NetIncomeLoss,2025-12-31,203041725.86,CNY
NetIncomeLoss,2026-03-31,17462669.72,CNY
NetIncomeLossExclNonRecurring,2024-06-30,195764799.39,CNY
NetIncomeLossExclNonRecurring,2024-09-30,237569767.0,CNY
NetIncomeLossExclNonRecurring,2024-12-31,29665846.39,CNY
NetIncomeLossExclNonRecurring,2025-03-31,77015743.23,CNY
NetIncomeLossExclNonRecurring,2025-06-30,126746768.55,CNY
NetIncomeLossExclNonRecurring,2025-09-30,99042321.99,CNY
NetIncomeLossExclNonRecurring,2025-12-31,-71596493.11,CNY
NetIncomeLossExclNonRecurring,2026-03-31,20137217.24,CNY
Revenues,2024-06-30,10030569579.69,CNY
Revenues,2024-09-30,14636619742.05,CNY
Revenues,2024-12-31,20230360494.05,CNY
Revenues,2025-03-31,4863763165.21,CNY
Revenues,2025-06-30,10839307288.9,CNY
Revenues,2025-09-30,16812460297.8,CNY
Revenues,2025-12-31,23036277153.4,CNY
Revenues,2026-03-31,5822809313.66,CNY
