concept,fiscal_year,period_end,value,unit
AccountsReceivableNetCurrent,2011,2011-12-31,155000000.0,CNY
AccountsReceivableNetCurrent,2012,2012-12-31,132000000.0,CNY
AccountsReceivableNetCurrent,2013,2013-12-31,294000000.0,CNY
AccountsReceivableNetCurrent,2014,2014-12-31,337000000.0,CNY
AccountsReceivableNetCurrent,2015,2015-12-31,376000000.0,CNY
AccountsReceivableNetCurrent,2016,2016-12-31,454000000.0,CNY
AccountsReceivableNetCurrent,2017,2017-12-31,480000000.0,CNY
AccountsReceivableNetCurrent,2018,2018-12-31,739000000.0,CNY
AccountsReceivableNetCurrent,2019,2019-12-31,772000000.0,CNY
AccountsReceivableNetCurrent,2020,2020-12-31,899000000.0,CNY
AccountsReceivableNetCurrent,2021,2021-12-31,894999999.9999999,CNY
AccountsReceivableNetCurrent,2022,2022-12-31,1098000000.0,CNY
AccountsReceivableNetCurrent,2023,2023-12-31,1116000000.0,CNY
AccountsReceivableNetCurrent,2024,2024-12-31,1140000000.0,CNY
AccountsReceivableNetCurrent,2025,2025-12-31,1454000000.0,CNY
AssetDisposalIncome,2011,2011-12-31,0.0,CNY
AssetDisposalIncome,2012,2012-12-31,0.0,CNY
AssetDisposalIncome,2013,2013-12-31,0.0,CNY
AssetDisposalIncome,2014,2014-12-31,0.0,CNY
AssetDisposalIncome,2015,2015-12-31,0.0,CNY
AssetDisposalIncome,2016,2016-12-31,335600.0,CNY
AssetDisposalIncome,2017,2017-12-31,24400.0,CNY
AssetDisposalIncome,2018,2018-12-31,334099.99999999994,CNY
AssetDisposalIncome,2019,2019-12-31,-313500.0,CNY
AssetDisposalIncome,2020,2020-12-31,-1062000.0,CNY
AssetDisposalIncome,2021,2021-12-31,-1162800.0,CNY
AssetDisposalIncome,2022,2022-12-31,3388399.9999999995,CNY
AssetDisposalIncome,2023,2023-12-31,-2252900.0,CNY
AssetDisposalIncome,2024,2024-12-31,-1121700.0,CNY
AssetDisposalIncome,2025,2025-12-31,-1038800.0,CNY
AssetImpairmentLoss,2011,2011-12-31,-822099.9999999999,CNY
AssetImpairmentLoss,2012,2012-12-31,691400.0,CNY
AssetImpairmentLoss,2013,2013-12-31,6194000.0,CNY
AssetImpairmentLoss,2014,2014-12-31,5197200.0,CNY
AssetImpairmentLoss,2015,2015-12-31,2666900.0,CNY
AssetImpairmentLoss,2016,2016-12-31,4245900.0,CNY
AssetImpairmentLoss,2017,2017-12-31,15198300.0,CNY
AssetImpairmentLoss,2018,2018-12-31,51713500.0,CNY
AssetImpairmentLoss,2019,2019-12-31,39462200.0,CNY
AssetImpairmentLoss,2020,2020-12-31,88198900.0,CNY
AssetImpairmentLoss,2021,2021-12-31,102000000.0,CNY
AssetImpairmentLoss,2022,2022-12-31,90521900.0,CNY
AssetImpairmentLoss,2023,2023-12-31,76733000.0,CNY
AssetImpairmentLoss,2024,2024-12-31,65371100.0,CNY
AssetImpairmentLoss,2025,2025-12-31,99846400.0,CNY
CashAndCashEquivalentsAtCarryingValue,2011,2011-12-31,89177400.0,CNY
