concept,period_end,value,unit
NetCashProvidedByUsedInOperatingActivities,2024-06-30,137714464.73,CNY
NetCashProvidedByUsedInOperatingActivities,2024-09-30,194986059.87,CNY
NetCashProvidedByUsedInOperatingActivities,2024-12-31,312971987.64,CNY
NetCashProvidedByUsedInOperatingActivities,2025-03-31,-14148390.23,CNY
NetCashProvidedByUsedInOperatingActivities,2025-06-30,43666872.8,CNY
NetCashProvidedByUsedInOperatingActivities,2025-09-30,8725686.65,CNY
NetCashProvidedByUsedInOperatingActivities,2025-12-31,170838144.27,CNY
NetCashProvidedByUsedInOperatingActivities,2026-03-31,-438500864.35,CNY
NetIncomeLoss,2024-06-30,164161211.74,CNY
NetIncomeLoss,2024-09-30,200167053.28,CNY
NetIncomeLoss,2024-12-31,224961752.08,CNY
NetIncomeLoss,2025-03-31,45819528.03,CNY
NetIncomeLoss,2025-06-30,198913068.12,CNY
NetIncomeLoss,2025-09-30,393345853.28,CNY
NetIncomeLoss,2025-12-31,253540898.26,CNY
NetIncomeLoss,2026-03-31,-76913481.56,CNY
NetIncomeLossExclNonRecurring,2024-06-30,158271425.15,CNY
NetIncomeLossExclNonRecurring,2024-09-30,203820286.53,CNY
NetIncomeLossExclNonRecurring,2024-12-31,200563209.96,CNY
NetIncomeLossExclNonRecurring,2025-03-31,47318712.02,CNY
NetIncomeLossExclNonRecurring,2025-06-30,182671652.62,CNY
NetIncomeLossExclNonRecurring,2025-09-30,126682433.44,CNY
NetIncomeLossExclNonRecurring,2025-12-31,38627939.71,CNY
NetIncomeLossExclNonRecurring,2026-03-31,-22824273.39,CNY
Revenues,2024-06-30,2341333689.62,CNY
Revenues,2024-09-30,3537931760.5,CNY
Revenues,2024-12-31,5106112037.02,CNY
Revenues,2025-03-31,999045520.58,CNY
Revenues,2025-06-30,2867664792.19,CNY
Revenues,2025-09-30,3613753382.89,CNY
Revenues,2025-12-31,4994224951.18,CNY
Revenues,2026-03-31,1110230111.7,CNY
