concept,period_end,value,unit
NetCashProvidedByUsedInOperatingActivities,2024-06-30,64681145.51,CNY
NetCashProvidedByUsedInOperatingActivities,2024-09-30,94509146.95,CNY
NetCashProvidedByUsedInOperatingActivities,2024-12-31,253298766.69,CNY
NetCashProvidedByUsedInOperatingActivities,2025-03-31,25448339.73,CNY
NetCashProvidedByUsedInOperatingActivities,2025-06-30,155439574.28,CNY
NetCashProvidedByUsedInOperatingActivities,2025-09-30,267404098.97,CNY
NetCashProvidedByUsedInOperatingActivities,2025-12-31,228142091.34,CNY
NetCashProvidedByUsedInOperatingActivities,2026-03-31,134791065.54,CNY
NetIncomeLoss,2024-06-30,107994325.94,CNY
NetIncomeLoss,2024-09-30,83219172.82,CNY
NetIncomeLoss,2024-12-31,20214757.31,CNY
NetIncomeLoss,2025-03-31,39931980.96,CNY
NetIncomeLoss,2025-06-30,59037631.68,CNY
NetIncomeLoss,2025-09-30,55658872.77,CNY
NetIncomeLoss,2025-12-31,-244761843.1,CNY
NetIncomeLoss,2026-03-31,18138429.51,CNY
NetIncomeLossExclNonRecurring,2024-06-30,27712556.05,CNY
NetIncomeLossExclNonRecurring,2024-09-30,10073945.61,CNY
NetIncomeLossExclNonRecurring,2024-12-31,-38843891.58,CNY
NetIncomeLossExclNonRecurring,2025-03-31,27940387.63,CNY
NetIncomeLossExclNonRecurring,2025-06-30,42139860.02,CNY
NetIncomeLossExclNonRecurring,2025-09-30,38545627.02,CNY
NetIncomeLossExclNonRecurring,2025-12-31,-226124975.17,CNY
NetIncomeLossExclNonRecurring,2026-03-31,16846719.95,CNY
Revenues,2024-06-30,1903913621.2,CNY
Revenues,2024-09-30,2762037575.38,CNY
Revenues,2024-12-31,3642956194.2,CNY
Revenues,2025-03-31,920892642.43,CNY
Revenues,2025-06-30,1804913019.04,CNY
Revenues,2025-09-30,2645249887.98,CNY
Revenues,2025-12-31,3249135008.46,CNY
Revenues,2026-03-31,709421791.72,CNY
