concept,period_end,value,unit
NetCashProvidedByUsedInOperatingActivities,2024-06-30,-6413098864.02,CNY
NetCashProvidedByUsedInOperatingActivities,2024-09-30,-8367081645.6,CNY
NetCashProvidedByUsedInOperatingActivities,2024-12-31,-4724978931.84,CNY
NetCashProvidedByUsedInOperatingActivities,2025-03-31,-1747336782.35,CNY
NetCashProvidedByUsedInOperatingActivities,2025-06-30,-484332299.83,CNY
NetCashProvidedByUsedInOperatingActivities,2025-09-30,1818660320.07,CNY
NetCashProvidedByUsedInOperatingActivities,2025-12-31,4359382755.77,CNY
NetCashProvidedByUsedInOperatingActivities,2026-03-31,-2448622879.29,CNY
NetIncomeLoss,2024-06-30,-5230631522.98,CNY
NetIncomeLoss,2024-09-30,-6485532106.05,CNY
NetIncomeLoss,2024-12-31,-8592102400.42,CNY
NetIncomeLoss,2025-03-31,-1430653676.59,CNY
NetIncomeLoss,2025-06-30,-2569358351.05,CNY
NetIncomeLoss,2025-09-30,-3403469441.0,CNY
NetIncomeLoss,2025-12-31,-6419556843.85,CNY
NetIncomeLoss,2026-03-31,-1919902418.4,CNY
NetIncomeLossExclNonRecurring,2024-06-30,-5276611337.66,CNY
NetIncomeLossExclNonRecurring,2024-09-30,-6488130560.52,CNY
NetIncomeLossExclNonRecurring,2024-12-31,-8747230737.94,CNY
NetIncomeLossExclNonRecurring,2025-03-31,-1983311250.23,CNY
NetIncomeLossExclNonRecurring,2025-06-30,-3304141348.99,CNY
NetIncomeLossExclNonRecurring,2025-09-30,-4453865997.99,CNY
NetIncomeLossExclNonRecurring,2025-12-31,-7361963984.28,CNY
NetIncomeLossExclNonRecurring,2026-03-31,-2134583913.86,CNY
Revenues,2024-06-30,38528702860.54,CNY
Revenues,2024-09-30,58592695599.44,CNY
Revenues,2024-12-31,82582273118.72,CNY
Revenues,2025-03-31,13652473612.63,CNY
Revenues,2025-06-30,32813146398.68,CNY
Revenues,2025-09-30,50914567855.0,CNY
Revenues,2025-12-31,70347049950.42,CNY
Revenues,2026-03-31,11191552278.54,CNY
